jaccard,METHOD rule_based (validated 2),METHOD rule_based (all 6),METHOD fuzzy linkage,METHOD isolation_forest (standard),METHOD isolation_forest (layered),baseline:payment_count_gt_6
METHOD rule_based (validated 2),1.0,0.5388373229115779,0.0016906170752324597,0.2770105605199025,0.0,0.5053191489361702
METHOD rule_based (all 6),0.5388373229115779,1.0,0.015259895088221268,0.1615881809787627,0.010686395396629675,0.27571221632061804
METHOD fuzzy linkage,0.0016906170752324597,0.015259895088221268,1.0,0.012867647058823529,0.0,0.0014792899408284023
METHOD isolation_forest (standard),0.2770105605199025,0.1615881809787627,0.012867647058823529,1.0,0.15921052631578947,0.453551912568306
METHOD isolation_forest (layered),0.0,0.010686395396629675,0.0,0.15921052631578947,1.0,0.020263424518743668
baseline:payment_count_gt_6,0.5053191489361702,0.27571221632061804,0.0014792899408284023,0.453551912568306,0.020263424518743668,1.0
